user_text,wikiproject,cos_sim,pos
Pampuco,asia,0.24054660301813777,14
Nicu farcas,asia,0.23972205515937794,15
Imthi nadubail,asia,0.23674867251076132,16
Johnnyf1nn,asia,0.23636157110322384,17
MFCMFC,asia,0.23461212178339147,18
ILoveKorea,asia,0.2336458969663299,19
Francisdianish,asia,0.23362964681656359,20
Treichar,birds,0.60060699618255275,1
Ruigeroeland,birds,0.59095229084126322,2
Daniel-Brown,birds,0.5825308391812386,3
Simuliid,birds,0.54628864279151934,4
Anatomyczar,birds,0.54482254708339728,5
J.H.McDonnell,birds,0.5420433574420872,6
Hector Bottai,birds,0.53488288734710132,7
Daniel Cavallari,birds,0.514750315366832,8
Tonton Bernardo,birds,0.513463376030531,9
M.E.Nuhn,birds,0.50425473640749974,10
FilipeBSilva,birds,0.48198964085838181,11
KMaher123,birds,0.47891340202364624,12
Burklemore1,birds,0.47500082882605238,13
BernardP,birds,0.4707060147251988,14
Stongey,birds,0.46992843615197216,15
Chermundy,birds,0.46893354533755621,16
Oculi,birds,0.46442493741464586,17
Elspooky,birds,0.46311778329272596,18
Faendalimas,birds,0.45958461897997377,19
Ariefrahman,birds,0.45823898452292022,20
Daamoy,cannabis,0.30105206366333964,1
Queenwe,cannabis,0.28664034463872612,2
Huddo14,cannabis,0.25724305368222283,3
Jonathankwanhc,cannabis,0.25126060882737439,4
Humanrights4nz,cannabis,0.24823015624202568,5
Tangotopaz,cannabis,0.24533315349339088,6
Imachrischan,cannabis,0.24440394787769321,7
Carolyn.monaco,cannabis,0.24440248179120586,8
LuLuDrops,cannabis,0.24396890403904162,9
Nblund,cannabis,0.2416077690855139,10
Bibliomachus,cannabis,0.24119533615082578,11
AlexMota300,cannabis,0.23753528016781481,12
JanPodany,cannabis,0.23385573935971182,13
Vegamala,cannabis,0.23166981386565957,14
Wilbur99,cannabis,0.22945210341743219,15
Chase1493,cannabis,0.2261336442823951,16
Catsmeow8989,cannabis,0.22578904774750475,17
Yorksa10,cannabis,0.2253266021812016,18
Krissjody,cannabis,0.223760453196655,19
Tab1975,cannabis,0.22034093836549781,20
Drangmeistername,college football,0.48823933919925361,1
Tomahawk1221,college football,0.37939994289574858,2
Gijimu,college football,0.36773860015049065,3
Meowmeow99,college football,0.36302020941159396,4
Bsuwogltfam,college football,0.35024013613045407,5
Ldairlds8,college football,0.34481663050328276,6
Meleemaster428,college football,0.34251603033067884,7
JohnRainbird,college football,0.3412580795069432,8
Grandtheftauto1988,college football,0.34018348933240788,9
XdeLaTorre,college football,0.33897076910687324,10
Thefro552,college football,0.33638727835916071,11
Omallepj,college football,0.32549289279950239,12
The infamousx,college football,0.32331673584207082,13
Rymax23,college football,0.32084188916523887,14
Sparrowhawk8,college football,0.3191839246392999,15
Erik255,college football,0.3155761199955574,16
Maurithus,college football,0.31387940029221451,17
DawnBTVS,college football,0.31105850456022988,18
Gnusny,college football,0.30950466205153176,19
Frankm.russo,college football,0.30648035902053133,20
Daamoy,england,0.26363806230220993,1
Queenwe,england,0.25326253941196869,2
Huddo14,england,0.23910512126182296,3
Carolyn.monaco,england,0.23102460827552257,4
LuLuDrops,england,0.23002761275703443,5
Jonathankwanhc,england,0.22992703496198841,6
Tangotopaz,england,0.22568654239912225,7
Bibliomachus,england,0.22323178996509108,8
Humanrights4nz,england,0.22247355537633537,9
Nblund,england,0.22183489884714519,10
AlexMota300,england,0.22019015471545916,11
Imachrischan,england,0.2191532408076651,12
Wilbur99,england,0.21763095376170546,13
Vegamala,england,0.21680848728953059,14
Chase1493,england,0.21639245419057865,15
JanPodany,england,0.21551249309585402,16
Tab1975,england,0.2153009889317325,17
Jacky Chi Wo Kwong,england,0.20864939848932756,18
Olickal Peter Thomas,england,0.20753858914926412,19
Krissjody,england,0.20348092762254461,20
81belle,film,0.54556867815875931,1
Aliciastockley,film,0.54556867815875931,2
Cheri Brown,film,0.45879460828904145,3
Teranteran,film,0.40094522837589619,4
Azura81,film,0.39388608644880307,5
F&ME01,film,0.39176597621997311,6
Smellcheck,film,0.37406034907800556,7
Anjoepaul,film,0.37246222970653309,8
FanofPopMusic,film,0.37047455446325411,9
Jlo Fan 1999,film,0.3702098994461504,10
Abhajaiprakash,film,0.36978584310342011,11
Akshay Kumar Wiki,film,0.36732097904937883,12
Jjavier1978,film,0.36673057247925911,13
Ganesh Subbu,film,0.36493995716949956,14
Anotha1,film,0.36330864298297527,15
Ramesh Naidu10,film,0.36259878684682595,16
Sherya ghosal,film,0.36246920505897245,17
Kirtap92,film,0.3624308463536195,18
Teodor Arad,film,0.36201779032789905,19
Wntrfields,film,0.36096671247214163,20
Drangmeistername,football,0.31354757382455434,1
Daamoy,football,0.27427604045210374,2
Meowmeow99,football,0.27393281134855363,3
Tomahawk1221,football,0.264249875931007,4
Queenwe,football,0.2605187316317189,5
Sparrowhawk8,football,0.25934382006604995,6
Ab27826,football,0.25321568287898449,7
Stealth t,football,0.25275629744418843,8
Gijimu,football,0.25251408171380574,9
Bagelboy96,football,0.252275911218588,10
JuilliardHustle,football,0.25155720987796137,11
Cpfan776,football,0.24921369129008369,12
UCinternational,football,0.24789347684443541,13
Grandtheftauto1988,football,0.24695704579297598,14
Kingryan227,football,0.24680161608818355,15
Carolyn.monaco,football,0.24637063976214485,16
Castro13,football,0.24563090504108998,17
Lugubrious DBB,football,0.24458226853862669,18
Seththomas98,football,0.24287186373642228,19
Bsuwogltfam,football,0.24206795311010904,20
Daamoy,india,0.23618810093783471,1
Queenwe,india,0.22703206941758594,2
Elitre (WPS),india,0.21816793036175358,3
Huddo14,india,0.217109794319592,4
Jonathankwanhc,india,0.21522045599760573,5
LuLuDrops,india,0.21321856780855716,6
Tangotopaz,india,0.21228762905582821,7
Info.wpd,india,0.20995120329518624,8
Carolyn.monaco,india,0.20836905964701494,9
AlexMota300,india,0.20777842127483692,10
Humanrights4nz,india,0.20736994059677766,11
Bibliomachus,india,0.20680074274323476,12
Jacky Chi Wo Kwong,india,0.20378475703289334,13
Olickal Peter Thomas,india,0.20163132467001832,14
JanPodany,india,0.200708771305494,15
Aliciastockley,india,0.20014775978567245,16
81belle,india,0.20014775978567245,17
Imachrischan,india,0.19994564706214474,18
Nblund,india,0.1996412501630819,19
Abrahamic Faiths,india,0.19935844048366352,20
81belle,lgbt studies,0.24729359537493451,1
Aliciastockley,lgbt studies,0.24729359537493451,2
Elitre (WPS),lgbt studies,0.24224717856519018,3
Cheri Brown,lgbt studies,0.24203628989310716,4
Teranteran,lgbt studies,0.23853141957188889,5
Daamoy,lgbt studies,0.23720076175544583,6
Info.wpd,lgbt studies,0.22858232296458955,7
Queenwe,lgbt studies,0.22621802570763255,8
Mrwaugh,lgbt studies,0.225767030465509,9
Dr.aeon,lgbt studies,0.22452589903922995,10
Nadeembahoo,lgbt studies,0.22256743112035143,11
R2Mar,lgbt studies,0.22253703028580438,12
Super-gel,lgbt studies,0.22221856432259424,13
Drangmeistername,lgbt studies,0.22100706796579769,14
Plastelin,lgbt studies,0.22082866682603122,15
Abrahamic Faiths,lgbt studies,0.21871586185898795,16
Grandtheftauto1988,lgbt studies,0.21775131068030074,17
F&ME01,lgbt studies,0.21699338128363405,18
Tomahawk1221,lgbt studies,0.21682920753171905,19
LuLuDrops,lgbt studies,0.2168067233400118,20
Samuel Fux,mathematics,0.38461538461538464,1
Some1Redirects4You,mathematics,0.26295461860315417,2
Danchristensen,mathematics,0.25961538461538458,3
Zahlentheorie,mathematics,0.25000000000000006,4
RonnieBrown,mathematics,0.24452303762648592,5
Darij,mathematics,0.24341570947905791,6
Ignacitum,mathematics,0.23916083916083913,7
Noix07,mathematics,0.23859768550034038,8
Nomen4Omen,mathematics,0.23253082795067528,9
He7d3r,mathematics,0.22885491655207743,10
Nsoum,mathematics,0.22649572649572647,11
Heavyweight Saturday,mathematics,0.21794871794871795,12
Enyokoyama,mathematics,0.21583166763384704,13
Crisófilax,mathematics,0.21280232769594476,14
