user_text,wikiproject,total_edits,pos
The Anome,medicine,3776,14
Gandydancer,medicine,3653,15
BrianGroen,medicine,3560,16
Boghog,medicine,3418,17
Hordaland,medicine,3389,18
Seppi333,medicine,3354,19
Yobol,medicine,3304,20
Dormskirk,military history,54934,1
MisterBee1966,military history,37582,2
Kernel Saunters,military history,33906,3
Cplakidas,military history,22528,4
Rich Farmbrough,military history,21353,5
Hmains,military history,19866,6
Buckshot06,military history,18659,7
Jim Sweeney,military history,17709,8
Rjwilmsi,military history,16451,9
DagosNavy,military history,16233,10
AustralianRupert,military history,15504,11
Mjroots,military history,14814,12
Reedmalloy,military history,14699,13
Rjensen,military history,14116,14
Klemen Kocjancic,military history,13879,15
Woohookitty,military history,12367,16
Keith-264,military history,12130,17
Hawkeye7,military history,12038,18
Anotherclown,military history,12014,19
Manxruler,military history,11523,20
DPH1110,national football league,20693,1
Jwalte04,national football league,19951,2
Zzyzx11,national football league,19519,3
Phbasketball6,national football league,19419,4
Dirtlawyer1,national football league,18586,5
Yankees10,national football league,17524,6
Jweiss11,national football league,16073,7
Bender235,national football league,16069,8
Eagles247,national football league,14756,9
WikiOriginal-9,national football league,14147,10
Alakazam,national football league,13607,11
JustAGal,national football league,12461,12
Gypaetus,national football league,10669,13
TonyTheTiger,national football league,10177,14
ZappaOMati,national football league,8484,15
AaronY,national football league,7859,16
StarScream1007,national football league,7737,17
Wizardman,national football league,6783,18
Cbl62,national football league,6387,19
David Gerard,national football league,5844,20
Pubdog,national register of historic places,51622,1
Jllm06,national register of historic places,46354,2
Doncram,national register of historic places,39884,3
Ebyabe,national register of historic places,33488,4
Nyttend,national register of historic places,31226,5
Hmains,national register of historic places,29405,6
Vegaswikian,national register of historic places,25561,7
Magicpiano,national register of historic places,21173,8
Ser Amantio di Nicolao,national register of historic places,21095,9
Daniel Case,national register of historic places,18786,10
Acroterion,national register of historic places,14853,11
Od Mishehu AWB,national register of historic places,13625,12
TheCatalyst31,national register of historic places,10491,13
7&6=thirteen,national register of historic places,9375,14
Beyond My Ken,national register of historic places,9304,15
McGhiever,national register of historic places,8541,16
DanTD,national register of historic places,7798,17
Smallbones,national register of historic places,7729,18
Ipoellet,national register of historic places,7451,19
Elkman,national register of historic places,7277,20
Aboutmovies,oregon,40749,1
Valfontis,oregon,32150,2
Finetooth,oregon,17352,3
Another Believer,oregon,14770,4
EncMstr,oregon,9350,5
Peteforsyth,oregon,8780,6
Esprqii,oregon,8086,7
SJ Morg,oregon,6619,8
Tedder,oregon,5804,9
Ipoellet,oregon,5135,10
Hmains,oregon,4940,11
Jsayre64,oregon,4470,12
Cmguy777,oregon,3987,13
Jllm06,oregon,3530,14
Carrite,oregon,2626,15
Smjwalsh,oregon,2466,16
Mike Cline,oregon,2192,17
Rjwilmsi,oregon,2160,18
Ser Amantio di Nicolao,oregon,2129,19
Cacophony,oregon,2064,20
Ribbon Salminen,professional wrestling,61466,1
McPhail,professional wrestling,25223,2
Nikki311,professional wrestling,15833,3
MPJ-DK,professional wrestling,10490,4
ClassicOnAStick,professional wrestling,8486,5
Starship.paint,professional wrestling,8081,6
HHH Pedrigree,professional wrestling,7727,7
Vjmlhds,professional wrestling,7137,8
JMichael22,professional wrestling,4612,9
InedibleHulk,professional wrestling,4480,10
Jtalledo,professional wrestling,4218,11
Jeffhardyred,professional wrestling,3547,12
GaryColemanFan,professional wrestling,3434,13
FPAtl,professional wrestling,3430,14
JIK1975,professional wrestling,3368,15
LM2000,professional wrestling,3350,16
Scorpion0422,professional wrestling,2827,17
Darrenhusted,professional wrestling,2778,18
Dale Arnett,professional wrestling,2705,19
Donnowin1,professional wrestling,2677,20
Drovethrughosts,television,41531,1
AussieLegend,television,35775,2
AdamDeanHall,television,27445,3
QuasyBoy,television,25811,4
Grapesoda22,television,21964,5
Bearcat,television,20235,6
Geraldo Perez,television,19704,7
TomCat4680,television,19527,8
Gen. Quon,television,18453,9
Rtkat3,television,18268,10
This is Paul,television,18037,11
CAWylie,television,16929,12
Flyer22,television,16486,13
Scorpion0422,television,16312,14
Azumanga1,television,14965,15
Drmargi,television,14493,16
AnemoneProjectors,television,14075,17
Unreal7,television,13881,18
Woohookitty,television,13789,19
TAnthony,television,13501,20
Morriswa,u.s. roads,3841,1
NE2,u.s. roads,1766,2
Imzadi1979,u.s. roads,1228,3
Dough4872,u.s. roads,715,4
Rschen7754,u.s. roads,569,5
Fredddie,u.s. roads,532,6
DanTD,u.s. roads,422,7
B137,u.s. roads,398,8
TCN7JM,u.s. roads,355,9
Ljthefro,u.s. roads,316,10
Stevietheman,u.s. roads,273,11
Omnedon,u.s. roads,263,12
Washuotaku,u.s. roads,262,13
Jllm06,u.s. roads,249,14
Mr. Matté,u.s. roads,235,15
Bitmapped,u.s. roads,197,16
C.Fred,u.s. roads,195,17
Famartin,u.s. roads,178,18
Dale Arnett,u.s. roads,170,19
Polaron,u.s. roads,168,20
Hmains,united states,126459,1
Billy Hathorn,united states,80564,2
WhisperToMe,united states,80291,3
Nyttend,united states,74470,4
Jllm06,united states,69723,5
Ser Amantio di Nicolao,united states,51532,6
Rich Farmbrough,united states,48265,7
Rjwilmsi,united states,46903,8
Buaidh,united states,42935,9
Rjensen,united states,42501,10
Parkwells,united states,42097,11
BD2412,united states,39931,12
Woohookitty,united states,38105,13
All Hallow's Wraith,united states,35066,14
Ken Gallager,united states,34213,15
Dale Arnett,united states,33192,16
GoldRingChip,united states,33178,17
Johnpacklambert,united states,32134,18
Good Olfactory,united states,31812,19
Bearcat,united states,30730,20
X201,video games,36034,1
GVnayR,video games,30140,2
Juhachi,video games,26754,3
Masem,video games,24736,4
Jonny2x4,video games,16136,5
New Age Retro Hippie,video games,14935,6
Silver Edge,video games,13681,7
Sergecross73,video games,13403,8
Tintor2,video games,11370,9
N. Harmonik,video games,11349,10
PresN,video games,10914,11
Teancum,video games,10619,12
David Fuchs,video games,10401,13
Player017,video games,9670,14
Wonchop,video games,9354,15
JDC808,video games,8626,16
Alphathon,video games,8492,17
Judgesurreal777,video games,7971,18
Landingdude13,video games,7923,19
Eik Corell,video games,7797,20
