wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
lgbt studies,american beauty (1999 film),44122,0,,fa
lgbt studies,d. h. lawrence,44191,0,,b
lgbt studies,rosie o'donnell,44205,0,,b
lgbt studies,edward albee,44309,0,,c
lgbt studies,tennessee williams,44634,0,,c
lgbt studies,luchino visconti,44822,0,,c
lgbt studies,edward ii of england,44848,0,,
lgbt studies,bonobo,45286,0,,b
lgbt studies,albus dumbledore,45322,0,,b
lgbt studies,pim fortuyn,45812,0,,b
lgbt studies,richard burton,45967,0,,b
lgbt studies,george michael,45985,0,,b
lgbt studies,anne desclos,46061,0,,start
lgbt studies,focus on the family,46227,0,,start
lgbt studies,james dobson,46230,0,,b
lgbt studies,siegfried sassoon,46233,0,,b
lgbt studies,wilfred owen,46525,0,,b
lgbt studies,human rights watch,46530,0,,c
lgbt studies,ivor novello,47154,0,,b
lgbt studies,william iii of england,47387,0,,fa
lgbt studies,buffy the vampire slayer,47542,0,,b
lgbt studies,michel foucault,47643,0,,b
lgbt studies,valerie solanas,48029,0,,ga
lgbt studies,adrienne rich,48171,0,,c
lgbt studies,angela davis,48522,0,,b
lgbt studies,tove jansson,49274,0,,b
lgbt studies,anthony burgess,49370,0,,b
lgbt studies,christina, queen of sweden,49613,0,,b
lgbt studies,international healing foundation,49649,0,,start
lgbt studies,pat robertson,49908,0,,b
lgbt studies,polari,50322,0,,start
lgbt studies,julian and sandy,50323,0,,start
lgbt studies,national association for research & therapy of homosexuality,50380,0,,start
lgbt studies,billie holiday,50420,0,,b
lgbt studies,joan baez,50960,0,,b
lgbt studies,aaron copland,51298,0,,b
lgbt studies,biology and sexual orientation,51614,0,,start
lgbt studies,pet shop boys,51641,0,,b
lgbt studies,thornton wilder,51684,0,,b
lgbt studies,bessie smith,52116,0,,b
lgbt studies,edward heath,52269,0,,b
lgbt studies,george sand,52592,0,,b
lgbt studies,william mcmahon,52641,0,,start
lgbt studies,leonardo dicaprio,52711,0,,ga
lgbt studies,joan collins,53047,0,,c
lgbt studies,marion zimmer bradley,53210,0,,c
lgbt studies,cole porter,53360,0,,b
lgbt studies,buggery,53413,0,,start
lgbt studies,philip johnson,53421,0,,c
lgbt studies,lorenz hart,53972,0,,start
lgbt studies,moss hart,53978,0,,start
lgbt studies,john travolta,54174,0,,b
lgbt studies,neo-nazism,54361,0,,c
lgbt studies,lysander,54626,0,,start
lgbt studies,svend robinson,54887,0,,b
lgbt studies,yaoi,54946,0,,b
lgbt studies,whoopi goldberg,54985,0,,b
lgbt studies,conventional sex,55539,0,,start
lgbt studies,hua mulan,55716,0,,start
lgbt studies,sophie wilson,56288,0,,start
lgbt studies,paul lynde,56987,0,,start
lgbt studies,richard von krafft-ebing,57715,0,,start
lgbt studies,drag queen,58164,0,,b
lgbt studies,pride parade,58168,0,,b
lgbt studies,solon,58230,0,,b
lgbt studies,name change,58589,0,,start
lgbt studies,judy garland,58719,0,,c
lgbt studies,liza minnelli,59216,0,,c
lgbt studies,lou reed,59533,0,,b
lgbt studies,xaviera hollander,59654,0,,start
lgbt studies,all you zombies,59806,0,,start
lgbt studies,janet jackson,60070,0,,fa
lgbt studies,time enough for love,60139,0,,start
lgbt studies,jasper johns,60148,0,,b
lgbt studies,bruce springsteen,60192,0,,c
lgbt studies,chasing amy,60293,0,,start
lgbt studies,northstar,60963,0,,c
lgbt studies,john wayne gacy,61279,0,,b
lgbt studies,charles laughton,61641,0,,b
lgbt studies,all about my mother,61664,0,,c
